Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,198,170.4,27.57,0,86.08,5.663,16.34,39.67,44.39,5.523,3.078,8.601,35.79,11.9,55.65,72.34
COMP2,112.5,95.14,17.37,0,84.56,3.567,10.29,21.89,27.63,3.379,4.703,8.083,58.19,26.21,54.05,80.67
IHX,209.7,172.9,36.8,0,82.45,7.56,21.82,44.36,48.25,7.787,1.696,9.483,17.89,31.92,58.77,77.53
MOT1,208.4,198,10.42,0,95,2.141,6.177,37.91,39.67,1.895,1.137,3.032,37.49,4.636,50.52,55.65
MOT2,118.4,112.5,5.921,0,95,1.216,3.51,21.54,21.89,1.077,0,1.077,0,1.637,50.52,54.05
SNK_HX,253.7,241.9,11.8,0,95.35,2.424,6.996,71.79,76.16,3.34,3.667,7.007,52.33,11.26,78.61,87.46
SRC_HX,83.73,57.11,26.61,0,68.22,5.466,15.77,1.374e-13,4.014,4.367e-14,2.429,2.429,100,inf,4.558e-13,19.52
VAL1,17.88,,17.88,0,,3.673,10.6,4.041,,4.041,0,4.041,0,inf,62.77,
VAL2,14.32,,14.32,0,,2.941,8.488,4.09,,4.09,0,4.09,0,inf,79.34,
TOT,486.8,241.9,168.7,76.27,49.68,34.65,100,59.45,76.16,20.6,16.71,37.31,44.79,157.9,33.92,87.46
