f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,COMP1,211204.8,191.82
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,COMP2,574943.6,522.17
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,IHX,182698.3,165.93
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,SNK_HX,171377.7,155.65
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,SRC_HX,99305.4,90.19
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,COMP1,192309.2,174.66
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,COMP2,475186.2,431.57
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,IHX,193336.6,175.59
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,SNK_HX,171715.6,155.96
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,SRC_HX,104132.4,94.57
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,COMP1,176989.7,160.75
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,COMP2,399517.6,362.85
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,IHX,203699.9,185.0
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,SNK_HX,174128.2,158.15
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,SRC_HX,108844.4,98.85
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,COMP1,164837.8,149.71
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,COMP2,340195.7,308.97
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,IHX,81800.4,74.29
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,MOT2,0.0,0.0
