label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_PUMP,30.0,20.0,3.0,84.194,0.2964,0.030051,33.277,3245.52,-0.0,199.02,199.02
12,water (source),SRC_PUMP,SRC_HX,30.0,20.0,3.15,84.213,0.2964,0.030051,33.277,3245.5,0.0,214.05,214.05
13,water (source),SRC_HX,source outlet,30.0,11.95,3.0,50.5,0.1799,0.030012,33.32,3241.3,471.26,199.02,670.29
21,R1270,SRC_HX,COMP1,5.72848,11.08,6.9743,591.759,2.4026,0.401774,2.489,8285.59,238.55,106321.49,106560.03
22,R1270,COMP1,IHX,5.72848,107.35,37.4683,696.863,2.4584,0.080107,12.483,1652.0,65021.15,130280.04,195301.19
22c,R1270,IHX,cc1,5.72848,74.95,37.1683,415.206,1.6697,0.014511,68.913,299.25,14614.03,130222.64,144836.67
23,R1270,cc1,VAL1,5.72848,74.95,37.1683,415.206,1.6697,0.014511,68.913,299.25,14614.03,130222.64,144836.67
24,R1270,VAL1,SRC_HX,5.72848,6.95,7.1493,415.206,1.7682,0.210735,4.745,4345.9,8376.7,107589.6,115966.3
31,R600,IHX,COMP2,10.84008,74.19,7.9408,693.499,2.495,0.568735,1.758,22194.48,55723.05,29672.34,85395.4
32,R600,COMP2,SNK_HX,10.84008,126.54,24.417,747.8,2.5222,0.155116,6.447,6053.3,99206.05,32508.86,131714.91
32c,R600,SNK_HX,cc2,10.84008,125.0,24.167,544.657,2.0129,0.026221,38.138,1023.25,45406.96,32465.91,77872.87
33,R600,cc2,VAL2,10.84008,125.0,24.167,544.657,2.0129,0.026221,38.138,1023.25,45406.96,32465.91,77872.87
34,R600,VAL2,IHX,10.84008,70.0,8.0908,544.657,2.0592,0.307204,3.255,11988.41,34612.51,29698.23,64310.74
41,water (sink),sink inlet,SNK_PUMP,1.0,120.0,1.9867,503.812,1.5279,0.00106,943.107,3.82,58708.67,97.52,58806.2
42,water (sink),SNK_PUMP,SNK_HX,1.0,120.0,2.1617,503.835,1.5279,0.00106,943.113,3.82,58710.88,115.05,58825.93
43,water (sink),SNK_HX,sink outlet,1.0,120.0,1.9867,2705.926,7.1291,0.891212,1.122,3208.36,618829.26,97.52,618926.78
