Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,134.2,115.1,19.06,0,85.79,2.976,5.338,29.46,40.68,4.185,3.423,7.608,44.99,38.07,60.99,98.15
COMP2,461.5,393.9,67.68,0,85.34,10.57,18.95,98.3,135.5,14.41,9.518,23.93,39.77,37.83,59.16,95.55
IHX,99.71,72.21,27.5,0,72.42,4.294,7.703,53.01,66.89,14.62,2.638,17.26,15.28,74.26,147.7,257.3
MOT1,141.2,134.2,7.062,0,95,1.103,1.978,25.69,29.46,1.285,0.8828,2.167,40.73,14.68,50.52,60.99
MOT2,485.8,461.5,24.29,0,95,3.792,6.803,88.37,98.3,4.418,0,4.418,0,11.24,50.52,59.16
SNK_HX,290.7,280.1,10.61,0,96.35,1.656,2.971,128.1,136.4,4.675,3.948,8.623,45.78,10.5,122.4,135.3
SRC_HX,15.33,0.00946,15.32,0,0.06171,2.392,4.291,10.85,19.04,10.85,1.922,12.77,15.05,2.841e+05,196.7,5.59e+05
VAL1,15.42,5.273,10.15,0,34.2,1.584,2.841,6.706,10.85,4.412,0,4.412,0,373.3,120.8,571.7
VAL2,175.4,,175.4,0,,27.38,49.12,74.28,,74.28,0,74.28,0,inf,117.6,
TOT,640.5,280.1,357.1,3.387,43.72,55.75,100,114.1,136.4,63.58,22.33,85.91,25.99,173.5,49.46,135.3
