f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,COMP1,228728.5,205.17
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,COMP2,532607.1,477.75
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,IHX,174220.7,156.28
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,SNK_HX,173089.7,155.26
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,SRC_HX,104920.8,94.11
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,COMP1,205585.9,184.41
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,COMP2,444833.9,399.02
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,IHX,185049.8,165.99
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,SNK_HX,173089.7,155.26
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,SRC_HX,109179.5,97.93
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,COMP1,186976.0,167.72
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,COMP2,376913.9,338.09
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,IHX,195524.8,175.39
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,SNK_HX,174635.5,156.65
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,SRC_HX,113386.1,101.71
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,COMP1,172159.4,154.43
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,COMP2,322874.3,289.62
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,IHX,206457.2,185.19
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,SNK_HX,176576.8,158.39
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,SRC_HX,117653.8,105.54
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,COMP1,259698.1,232.95
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,COMP2,423715.2,380.07
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,IHX,174014.4,156.09
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,SNK_HX,173207.1,155.37
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,SRC_HX,106146.3,95.21
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,COMP1,229485.7,205.85
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,COMP2,368450.1,330.5
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,IHX,185032.2,165.97
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,SNK_HX,174919.3,156.9
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,SRC_HX,110083.1,98.74
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,COMP1,205876.5,184.67
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,COMP2,322874.3,289.62
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,IHX,84624.5,75.91
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,SNK_HX,176576.8,158.39
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,SRC_HX,114061.9,102.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,COMP1,296156.8,265.65
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,COMP2,344612.3,309.12
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,IHX,80472.5,72.18
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,SNK_HX,175759.6,157.66
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,SRC_HX,106622.1,95.64
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,COMP1,257341.6,230.84
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,COMP2,309420.6,277.55
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,IHX,83588.1,74.98
