Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,189.3,163.1,26.19,0,86.17,5.179,10.74,39.19,47.68,5.421,3.661,9.082,40.31,21.66,57.5,81.19
COMP2,261,221.8,39.26,0,84.96,7.763,16.1,52.51,65.82,7.898,6.071,13.97,43.46,25.35,55.88,82.44
IHX,156.7,120.6,36.13,0,76.94,7.145,14.82,48.86,58.1,11.27,2.577,13.84,18.61,54.55,86.61,133.9
MOT1,199.3,189.3,9.965,0,95,1.97,4.086,36.25,39.19,1.812,1.104,2.917,37.86,8.115,50.52,57.5
MOT2,274.8,261,13.74,0,95,2.717,5.634,49.98,52.51,2.499,0,2.499,0,5.069,50.52,55.88
SNK_HX,273,261.9,11.16,0,95.91,2.207,4.578,99.78,105.6,4.08,3.773,7.853,48.05,10.36,101.5,112
SRC_HX,31.67,9.914,21.75,0,31.31,4.301,8.919,-4.372e-13,6.21,-3.003e-13,2.199,2.199,100,inf,-3.835e-12,174
VAL1,16.36,,16.36,0,,3.235,6.708,5.033,,5.033,0,5.033,0,inf,85.47,
VAL2,69.31,,69.31,0,,13.7,28.42,24.14,,24.14,0,24.14,0,inf,96.74,
TOT,505.7,261.9,243.9,0,51.78,48.22,100,86.23,105.6,41.58,19.39,60.96,31.8,136.5,47.36,112
